Disease,Symptoms,symptoms_list,symptoms_text,symptom_count,is_augmented,original_index
Kidney Stones,sudden severe flank or abdominal pain that may radiate to groin; pain comes in waves; hematuria; nausea; vomiting; urgency frequency of urination,"['sudden severe flank or abdominal pain that may radiate to groin', 'pain comes in waves', 'hematuria', 'nausea', 'vomiting', 'urgency frequency of urination']",sudden severe flank or abdominal pain that may radiate to groin pain comes in waves hematuria nausea vomiting urgency frequency of urination,6,False,20
Kidney Stones,nausea; pain comes in waves; hematuria; urgency frequency of urination; vomiting; sudden severe flank or abdominal pain that may radiate to groin,"['nausea', 'pain comes in waves', 'hematuria', 'urgency frequency of urination', 'vomiting', 'sudden severe flank or abdominal pain that may radiate to groin']",nausea pain comes in waves hematuria urgency frequency of urination vomiting sudden severe flank or abdominal pain that may radiate to groin,6,True,20
Kidney Stones,sudden severe flank or abdominal pain that may radiate to groin; pain comes in waves; hematuria; sick to stomach; vomiting; urgency frequency of urination; abdominal pain,"['sudden severe flank or abdominal pain that may radiate to groin', 'pain comes in waves', 'hematuria', 'sick to stomach', 'vomiting', 'urgency frequency of urination', 'abdominal pain']",sudden severe flank or abdominal pain that may radiate to groin pain comes in waves hematuria sick to stomach vomiting urgency frequency of urination abdominal pain,7,True,20
Kidney Stones,pain comes in waves; nausea; hematuria; vomiting; urgency frequency of urination,"['pain comes in waves', 'nausea', 'hematuria', 'vomiting', 'urgency frequency of urination']",pain comes in waves nausea hematuria vomiting urgency frequency of urination,5,True,20
Chlamydia Infection,often asymptomatic; abnormal genital discharge; burning during urination; pelvic pain; pain during intercourse; in women can cause bleeding between periods,"['often asymptomatic', 'abnormal genital discharge', 'burning during urination', 'pelvic pain', 'pain during intercourse', 'in women can cause bleeding between periods']",often asymptomatic abnormal genital discharge burning during urination pelvic pain pain during intercourse in women can cause bleeding between periods,6,False,21
Chlamydia Infection,often asymptomatic; abnormal genital discharge; burning during urination; pelvic pain; pain during intercourse; in women can cause bleeding between periods,"['often asymptomatic', 'abnormal genital discharge', 'burning during urination', 'pelvic pain', 'pain during intercourse', 'in women can cause bleeding between periods']",often asymptomatic abnormal genital discharge burning during urination pelvic pain pain during intercourse in women can cause bleeding between periods,6,True,21
Chlamydia Infection,often asymptomatic; abnormal genital discharge; burning during urination; pelvic pain; pain during intercourse; in women can cause bleeding between periods; frequent urination,"['often asymptomatic', 'abnormal genital discharge', 'burning during urination', 'pelvic pain', 'pain during intercourse', 'in women can cause bleeding between periods', 'frequent urination']",often asymptomatic abnormal genital discharge burning during urination pelvic pain pain during intercourse in women can cause bleeding between periods frequent urination,7,True,21
Chlamydia Infection,often asymptomatic; abnormal genital discharge; burning during urination; pelvic pain; pain during intercourse; in women can cause bleeding between periods,"['often asymptomatic', 'abnormal genital discharge', 'burning during urination', 'pelvic pain', 'pain during intercourse', 'in women can cause bleeding between periods']",often asymptomatic abnormal genital discharge burning during urination pelvic pain pain during intercourse in women can cause bleeding between periods,6,True,21
Gonorrhea,genital discharge  purulent; dysuria; pelvic pain; increased vaginal bleeding; testicular pain in men; sometimes throat pain if oral exposure,"['genital discharge  purulent', 'dysuria', 'pelvic pain', 'increased vaginal bleeding', 'testicular pain in men', 'sometimes throat pain if oral exposure']",genital discharge  purulent dysuria pelvic pain increased vaginal bleeding testicular pain in men sometimes throat pain if oral exposure,6,False,22
Gonorrhea,genital discharge  purulent; dysuria; pelvic pain; increased vaginal bleeding; testicular pain in men; sometimes throat pain if oral exposure,"['genital discharge  purulent', 'dysuria', 'pelvic pain', 'increased vaginal bleeding', 'testicular pain in men', 'sometimes throat pain if oral exposure']",genital discharge  purulent dysuria pelvic pain increased vaginal bleeding testicular pain in men sometimes throat pain if oral exposure,6,True,22
Gonorrhea,genital discharge  purulent; dysuria; increased vaginal bleeding; testicular pain in men; sometimes throat pain if oral exposure,"['genital discharge  purulent', 'dysuria', 'increased vaginal bleeding', 'testicular pain in men', 'sometimes throat pain if oral exposure']",genital discharge  purulent dysuria increased vaginal bleeding testicular pain in men sometimes throat pain if oral exposure,5,True,22
Gonorrhea,genital discharge  purulent; dysuria; pelvic pain; increased vaginal bleeding; testicular pain in men; sometimes throat pain if oral exposure,"['genital discharge  purulent', 'dysuria', 'pelvic pain', 'increased vaginal bleeding', 'testicular pain in men', 'sometimes throat pain if oral exposure']",genital discharge  purulent dysuria pelvic pain increased vaginal bleeding testicular pain in men sometimes throat pain if oral exposure,6,True,22
Syphilis,primary  painless genital sore; secondary  rash  including palms soles   mucous lesions  fever  lymphadenopathy; latent tertiary  organ damage if untreated,"['primary  painless genital sore', 'secondary  rash  including palms soles   mucous lesions  fever  lymphadenopathy', 'latent tertiary  organ damage if untreated']",primary  painless genital sore secondary  rash  including palms soles   mucous lesions  fever  lymphadenopathy latent tertiary  organ damage if untreated,3,False,23
Syphilis,secondary  rash  including palms soles   mucous lesions  fever  lymphadenopathy; latent tertiary  organ damage if untreated; primary  painless genital sore,"['secondary  rash  including palms soles   mucous lesions  fever  lymphadenopathy', 'latent tertiary  organ damage if untreated', 'primary  painless genital sore']",secondary  rash  including palms soles   mucous lesions  fever  lymphadenopathy latent tertiary  organ damage if untreated primary  painless genital sore,3,True,23
Syphilis,latent tertiary  organ damage if untreated; secondary  rash  including palms soles   mucous lesions  fever  lymphadenopathy; primary  painless genital sore,"['latent tertiary  organ damage if untreated', 'secondary  rash  including palms soles   mucous lesions  fever  lymphadenopathy', 'primary  painless genital sore']",latent tertiary  organ damage if untreated secondary  rash  including palms soles   mucous lesions  fever  lymphadenopathy primary  painless genital sore,3,True,23
Syphilis,primary  painless genital sore; secondary  rash  including palms soles   mucous lesions  fever  lymphadenopathy; latent tertiary  organ damage if untreated,"['primary  painless genital sore', 'secondary  rash  including palms soles   mucous lesions  fever  lymphadenopathy', 'latent tertiary  organ damage if untreated']",primary  painless genital sore secondary  rash  including palms soles   mucous lesions  fever  lymphadenopathy latent tertiary  organ damage if untreated,3,True,23
Pelvic Inflammatory Disease (PID),lower abdominal pelvic pain; abnormal vaginal discharge; fever; painful intercourse; dysuria; irregular menstrual bleeding; infertility risk if untreated,"['lower abdominal pelvic pain', 'abnormal vaginal discharge', 'fever', 'painful intercourse', 'dysuria', 'irregular menstrual bleeding', 'infertility risk if untreated']",lower abdominal pelvic pain abnormal vaginal discharge fever painful intercourse dysuria irregular menstrual bleeding infertility risk if untreated,7,False,24
Pelvic Inflammatory Disease (PID),infertility risk if untreated; abnormal vaginal discharge; lower abdominal pelvic pain; dysuria; pyrexia; irregular menstrual bleeding; painful intercourse,"['infertility risk if untreated', 'abnormal vaginal discharge', 'lower abdominal pelvic pain', 'dysuria', 'pyrexia', 'irregular menstrual bleeding', 'painful intercourse']",infertility risk if untreated abnormal vaginal discharge lower abdominal pelvic pain dysuria pyrexia irregular menstrual bleeding painful intercourse,7,True,24
Pelvic Inflammatory Disease (PID),lower abdominal pelvic pain; painful intercourse; irregular menstrual bleeding; infertility risk if untreated; fever; abnormal vaginal discharge; dysuria,"['lower abdominal pelvic pain', 'painful intercourse', 'irregular menstrual bleeding', 'infertility risk if untreated', 'fever', 'abnormal vaginal discharge', 'dysuria']",lower abdominal pelvic pain painful intercourse irregular menstrual bleeding infertility risk if untreated fever abnormal vaginal discharge dysuria,7,True,24
Pelvic Inflammatory Disease (PID),lower abdominal pelvic pain; abnormal vaginal discharge; fever; painful intercourse; dysuria; irregular menstrual bleeding; infertility risk if untreated,"['lower abdominal pelvic pain', 'abnormal vaginal discharge', 'fever', 'painful intercourse', 'dysuria', 'irregular menstrual bleeding', 'infertility risk if untreated']",lower abdominal pelvic pain abnormal vaginal discharge fever painful intercourse dysuria irregular menstrual bleeding infertility risk if untreated,7,True,24
Vaginal Yeast Infection (Candidiasis),intense vaginal itching and irritation; thick white  cottage cheese  discharge; burning with urination; redness swelling of vulva,"['intense vaginal itching and irritation', 'thick white  cottage cheese  discharge', 'burning with urination', 'redness swelling of vulva']",intense vaginal itching and irritation thick white  cottage cheese  discharge burning with urination redness swelling of vulva,4,False,25
Vaginal Yeast Infection (Candidiasis),intense vaginal itching and irritation; thick white  cottage cheese  discharge; burning with urination; redness swelling of vulva,"['intense vaginal itching and irritation', 'thick white  cottage cheese  discharge', 'burning with urination', 'redness swelling of vulva']",intense vaginal itching and irritation thick white  cottage cheese  discharge burning with urination redness swelling of vulva,4,True,25
Vaginal Yeast Infection (Candidiasis),intense vaginal itching and irritation; thick white  cottage cheese  discharge; burning with urination; redness swelling of vulva,"['intense vaginal itching and irritation', 'thick white  cottage cheese  discharge', 'burning with urination', 'redness swelling of vulva']",intense vaginal itching and irritation thick white  cottage cheese  discharge burning with urination redness swelling of vulva,4,True,25
Vaginal Yeast Infection (Candidiasis),intense vaginal itching and irritation; thick white  cottage cheese  discharge; burning with urination; redness swelling of vulva,"['intense vaginal itching and irritation', 'thick white  cottage cheese  discharge', 'burning with urination', 'redness swelling of vulva']",intense vaginal itching and irritation thick white  cottage cheese  discharge burning with urination redness swelling of vulva,4,True,25
Bacterial Vaginosis,thin gray or white vaginal discharge; fishy odor  especially after intercourse; vaginal itching or irritation  may be mild or absent,"['thin gray or white vaginal discharge', 'fishy odor  especially after intercourse', 'vaginal itching or irritation  may be mild or absent']",thin gray or white vaginal discharge fishy odor  especially after intercourse vaginal itching or irritation  may be mild or absent,3,False,26
Bacterial Vaginosis,vaginal itching or irritation  may be mild or absent; fishy odor  especially after intercourse; thin gray or white vaginal discharge,"['vaginal itching or irritation  may be mild or absent', 'fishy odor  especially after intercourse', 'thin gray or white vaginal discharge']",vaginal itching or irritation  may be mild or absent fishy odor  especially after intercourse thin gray or white vaginal discharge,3,True,26
Bacterial Vaginosis,thin gray or white vaginal discharge; fishy odor  especially after intercourse; vaginal itching or irritation  may be mild or absent,"['thin gray or white vaginal discharge', 'fishy odor  especially after intercourse', 'vaginal itching or irritation  may be mild or absent']",thin gray or white vaginal discharge fishy odor  especially after intercourse vaginal itching or irritation  may be mild or absent,3,True,26
Bacterial Vaginosis,thin gray or white vaginal discharge; fishy odor  especially after intercourse; vaginal itching or irritation  may be mild or absent,"['thin gray or white vaginal discharge', 'fishy odor  especially after intercourse', 'vaginal itching or irritation  may be mild or absent']",thin gray or white vaginal discharge fishy odor  especially after intercourse vaginal itching or irritation  may be mild or absent,3,True,26
Ectopic Pregnancy,abdominal or pelvic pain  often one sided; vaginal bleeding or spotting; dizziness or fainting; shoulder pain  if internal bleeding; missed period,"['abdominal or pelvic pain  often one sided', 'vaginal bleeding or spotting', 'dizziness or fainting', 'shoulder pain  if internal bleeding', 'missed period']",abdominal or pelvic pain  often one sided vaginal bleeding or spotting dizziness or fainting shoulder pain  if internal bleeding missed period,5,False,27
Ectopic Pregnancy,abdominal or pelvic pain  often one sided; dizziness or fainting; missed period; vaginal bleeding or spotting; shoulder pain  if internal bleeding,"['abdominal or pelvic pain  often one sided', 'dizziness or fainting', 'missed period', 'vaginal bleeding or spotting', 'shoulder pain  if internal bleeding']",abdominal or pelvic pain  often one sided dizziness or fainting missed period vaginal bleeding or spotting shoulder pain  if internal bleeding,5,True,27
Ectopic Pregnancy,abdominal or pelvic pain  often one sided; vaginal bleeding or spotting; dizziness or fainting; shoulder pain  if internal bleeding; missed period,"['abdominal or pelvic pain  often one sided', 'vaginal bleeding or spotting', 'dizziness or fainting', 'shoulder pain  if internal bleeding', 'missed period']",abdominal or pelvic pain  often one sided vaginal bleeding or spotting dizziness or fainting shoulder pain  if internal bleeding missed period,5,True,27
Ectopic Pregnancy,abdominal or pelvic pain  often one sided; vaginal bleeding or spotting; dizziness or fainting; shoulder pain  if internal bleeding; missed period,"['abdominal or pelvic pain  often one sided', 'vaginal bleeding or spotting', 'dizziness or fainting', 'shoulder pain  if internal bleeding', 'missed period']",abdominal or pelvic pain  often one sided vaginal bleeding or spotting dizziness or fainting shoulder pain  if internal bleeding missed period,5,True,27
Miscarriage (Spontaneous Abortion),vaginal bleeding or spotting; cramping abdominal pain; passage of tissue or fluid; decreased pregnancy symptoms; backache,"['vaginal bleeding or spotting', 'cramping abdominal pain', 'passage of tissue or fluid', 'decreased pregnancy symptoms', 'backache']",vaginal bleeding or spotting cramping abdominal pain passage of tissue or fluid decreased pregnancy symptoms backache,5,False,28
Miscarriage (Spontaneous Abortion),vaginal bleeding or spotting; cramping abdominal pain; passage of tissue or fluid; decreased pregnancy symptoms; backache,"['vaginal bleeding or spotting', 'cramping abdominal pain', 'passage of tissue or fluid', 'decreased pregnancy symptoms', 'backache']",vaginal bleeding or spotting cramping abdominal pain passage of tissue or fluid decreased pregnancy symptoms backache,5,True,28
Miscarriage (Spontaneous Abortion),vaginal bleeding or spotting; backache; passage of tissue or fluid; decreased pregnancy symptoms; cramping abdominal pain,"['vaginal bleeding or spotting', 'backache', 'passage of tissue or fluid', 'decreased pregnancy symptoms', 'cramping abdominal pain']",vaginal bleeding or spotting backache passage of tissue or fluid decreased pregnancy symptoms cramping abdominal pain,5,True,28
Miscarriage (Spontaneous Abortion),vaginal bleeding or spotting; cramping abdominal pain; passage of tissue or fluid; decreased pregnancy symptoms; backache,"['vaginal bleeding or spotting', 'cramping abdominal pain', 'passage of tissue or fluid', 'decreased pregnancy symptoms', 'backache']",vaginal bleeding or spotting cramping abdominal pain passage of tissue or fluid decreased pregnancy symptoms backache,5,True,28
Endometriosis,chronic pelvic pain  often worse with menstruation; painful intercourse; heavy or irregular periods; infertility; painful bowel or urination during periods,"['chronic pelvic pain  often worse with menstruation', 'painful intercourse', 'heavy or irregular periods', 'infertility', 'painful bowel or urination during periods']",chronic pelvic pain  often worse with menstruation painful intercourse heavy or irregular periods infertility painful bowel or urination during periods,5,False,29
Endometriosis,painful bowel or urination during periods; chronic pelvic pain  often worse with menstruation; painful intercourse; infertility; heavy or irregular periods,"['painful bowel or urination during periods', 'chronic pelvic pain  often worse with menstruation', 'painful intercourse', 'infertility', 'heavy or irregular periods']",painful bowel or urination during periods chronic pelvic pain  often worse with menstruation painful intercourse infertility heavy or irregular periods,5,True,29
Endometriosis,chronic pelvic pain  often worse with menstruation; painful intercourse; heavy or irregular periods; infertility; painful bowel or urination during periods,"['chronic pelvic pain  often worse with menstruation', 'painful intercourse', 'heavy or irregular periods', 'infertility', 'painful bowel or urination during periods']",chronic pelvic pain  often worse with menstruation painful intercourse heavy or irregular periods infertility painful bowel or urination during periods,5,True,29
Endometriosis,chronic pelvic pain  often worse with menstruation; painful intercourse; heavy or irregular periods; infertility; painful bowel or urination during periods,"['chronic pelvic pain  often worse with menstruation', 'painful intercourse', 'heavy or irregular periods', 'infertility', 'painful bowel or urination during periods']",chronic pelvic pain  often worse with menstruation painful intercourse heavy or irregular periods infertility painful bowel or urination during periods,5,True,29
Uterine Fibroids,heavy or prolonged menstrual bleeding; pelvic pressure or pain; frequent urination; constipation; lower back pain; enlargement of abdomen in large fibroids,"['heavy or prolonged menstrual bleeding', 'pelvic pressure or pain', 'frequent urination', 'constipation', 'lower back pain', 'enlargement of abdomen in large fibroids']",heavy or prolonged menstrual bleeding pelvic pressure or pain frequent urination constipation lower back pain enlargement of abdomen in large fibroids,6,False,30
Uterine Fibroids,heavy or prolonged menstrual bleeding; pelvic pressure or pain; frequent urination; infrequent bowel movements; lower back pain; enlargement of abdomen in large fibroids,"['heavy or prolonged menstrual bleeding', 'pelvic pressure or pain', 'frequent urination', 'infrequent bowel movements', 'lower back pain', 'enlargement of abdomen in large fibroids']",heavy or prolonged menstrual bleeding pelvic pressure or pain frequent urination infrequent bowel movements lower back pain enlargement of abdomen in large fibroids,6,True,30
Uterine Fibroids,pelvic pressure or pain; heavy or prolonged menstrual bleeding; lower back pain; frequent urination; constipation; enlargement of abdomen in large fibroids,"['pelvic pressure or pain', 'heavy or prolonged menstrual bleeding', 'lower back pain', 'frequent urination', 'constipation', 'enlargement of abdomen in large fibroids']",pelvic pressure or pain heavy or prolonged menstrual bleeding lower back pain frequent urination constipation enlargement of abdomen in large fibroids,6,True,30
Uterine Fibroids,pelvic pressure or pain; constipation; lower back pain; enlargement of abdomen in large fibroids; frequent urination; heavy or prolonged menstrual bleeding,"['pelvic pressure or pain', 'constipation', 'lower back pain', 'enlargement of abdomen in large fibroids', 'frequent urination', 'heavy or prolonged menstrual bleeding']",pelvic pressure or pain constipation lower back pain enlargement of abdomen in large fibroids frequent urination heavy or prolonged menstrual bleeding,6,True,30
Endometritis,pelvic pain; abnormal vaginal discharge; fever; painful intercourse; bleeding after intercourse; abnormal uterine bleeding,"['pelvic pain', 'abnormal vaginal discharge', 'fever', 'painful intercourse', 'bleeding after intercourse', 'abnormal uterine bleeding']",pelvic pain abnormal vaginal discharge fever painful intercourse bleeding after intercourse abnormal uterine bleeding,6,False,31
Endometritis,pelvic pain; abnormal vaginal discharge; high temperature; painful intercourse; bleeding after intercourse; abnormal uterine bleeding,"['pelvic pain', 'abnormal vaginal discharge', 'high temperature', 'painful intercourse', 'bleeding after intercourse', 'abnormal uterine bleeding']",pelvic pain abnormal vaginal discharge high temperature painful intercourse bleeding after intercourse abnormal uterine bleeding,6,True,31
Endometritis,pelvic pain; abnormal vaginal discharge; fever; painful intercourse; bleeding after intercourse; abnormal uterine bleeding; blood in urine,"['pelvic pain', 'abnormal vaginal discharge', 'fever', 'painful intercourse', 'bleeding after intercourse', 'abnormal uterine bleeding', 'blood in urine']",pelvic pain abnormal vaginal discharge fever painful intercourse bleeding after intercourse abnormal uterine bleeding blood in urine,7,True,31
Endometritis,pelvic pain; abnormal vaginal discharge; fever; bleeding after intercourse; abnormal uterine bleeding; blood in urine,"['pelvic pain', 'abnormal vaginal discharge', 'fever', 'bleeding after intercourse', 'abnormal uterine bleeding', 'blood in urine']",pelvic pain abnormal vaginal discharge fever bleeding after intercourse abnormal uterine bleeding blood in urine,6,True,31
Iron Deficiency Anemia,fatigue; weakness; pale skin; shortness of breath on exertion; dizziness; cold hands feet; brittle nails; pica  craving non food items,"['fatigue', 'weakness', 'pale skin', 'shortness of breath on exertion', 'dizziness', 'cold hands feet', 'brittle nails', 'pica  craving non food items']",fatigue weakness pale skin shortness of breath on exertion dizziness cold hands feet brittle nails pica  craving non food items,8,False,32
Iron Deficiency Anemia,weakness; weakness; pale skin; shortness of breath on exertion; dizziness; cold hands feet; brittle nails; pica  craving non food items,"['weakness', 'weakness', 'pale skin', 'shortness of breath on exertion', 'dizziness', 'cold hands feet', 'brittle nails', 'pica  craving non food items']",weakness weakness pale skin shortness of breath on exertion dizziness cold hands feet brittle nails pica  craving non food items,8,True,32
Iron Deficiency Anemia,pica  craving non food items; shortness of breath on exertion; brittle nails; pale skin; cold hands feet; dizziness; weakness; fatigue,"['pica  craving non food items', 'shortness of breath on exertion', 'brittle nails', 'pale skin', 'cold hands feet', 'dizziness', 'weakness', 'fatigue']",pica  craving non food items shortness of breath on exertion brittle nails pale skin cold hands feet dizziness weakness fatigue,8,True,32
Iron Deficiency Anemia,fatigue; weakness; pale skin; shortness of breath on exertion; dizziness; cold hands feet; brittle nails; pica  craving non food items,"['fatigue', 'weakness', 'pale skin', 'shortness of breath on exertion', 'dizziness', 'cold hands feet', 'brittle nails', 'pica  craving non food items']",fatigue weakness pale skin shortness of breath on exertion dizziness cold hands feet brittle nails pica  craving non food items,8,True,32
Type 2 Diabetes Mellitus,increased thirst; frequent urination; unexplained weight loss or gain; fatigue; blurred vision; slow wound healing; recurrent infections,"['increased thirst', 'frequent urination', 'unexplained weight loss or gain', 'fatigue', 'blurred vision', 'slow wound healing', 'recurrent infections']",increased thirst frequent urination unexplained weight loss or gain fatigue blurred vision slow wound healing recurrent infections,7,False,33
Type 2 Diabetes Mellitus,blurred vision; slow wound healing; painful urination; increased thirst; frequent urination; unexplained weight loss or gain; fatigue; recurrent infections,"['blurred vision', 'slow wound healing', 'painful urination', 'increased thirst', 'frequent urination', 'unexplained weight loss or gain', 'fatigue', 'recurrent infections']",blurred vision slow wound healing painful urination increased thirst frequent urination unexplained weight loss or gain fatigue recurrent infections,8,True,33
Type 2 Diabetes Mellitus,increased thirst; frequent urination; unexplained weight loss or gain; fatigue; blurred vision; slow wound healing; recurrent infections,"['increased thirst', 'frequent urination', 'unexplained weight loss or gain', 'fatigue', 'blurred vision', 'slow wound healing', 'recurrent infections']",increased thirst frequent urination unexplained weight loss or gain fatigue blurred vision slow wound healing recurrent infections,7,True,33
Type 2 Diabetes Mellitus,blurred vision; unexplained weight loss or gain; recurrent infections; rapid heartbeat; frequent urination; slow wound healing; fatigue; increased thirst,"['blurred vision', 'unexplained weight loss or gain', 'recurrent infections', 'rapid heartbeat', 'frequent urination', 'slow wound healing', 'fatigue', 'increased thirst']",blurred vision unexplained weight loss or gain recurrent infections rapid heartbeat frequent urination slow wound healing fatigue increased thirst,8,True,33
Hypothyroidism,fatigue; weight gain; cold intolerance; constipation; dry skin; hair loss; slowed heart rate; menstrual irregularities,"['fatigue', 'weight gain', 'cold intolerance', 'constipation', 'dry skin', 'hair loss', 'slowed heart rate', 'menstrual irregularities']",fatigue weight gain cold intolerance constipation dry skin hair loss slowed heart rate menstrual irregularities,8,False,34
Hypothyroidism,exhaustion; constipation; menstrual irregularities; dry skin; cold intolerance; weight gain; hair loss; slowed heart rate,"['exhaustion', 'constipation', 'menstrual irregularities', 'dry skin', 'cold intolerance', 'weight gain', 'hair loss', 'slowed heart rate']",exhaustion constipation menstrual irregularities dry skin cold intolerance weight gain hair loss slowed heart rate,8,True,34
Hypothyroidism,tiredness; weight gain; cold intolerance; hard stools; dry skin; hair loss; slowed heart rate; menstrual irregularities,"['tiredness', 'weight gain', 'cold intolerance', 'hard stools', 'dry skin', 'hair loss', 'slowed heart rate', 'menstrual irregularities']",tiredness weight gain cold intolerance hard stools dry skin hair loss slowed heart rate menstrual irregularities,8,True,34
Hypothyroidism,fatigue; weight gain; difficulty passing stool; dry skin; hair loss; slowed heart rate; menstrual irregularities,"['fatigue', 'weight gain', 'difficulty passing stool', 'dry skin', 'hair loss', 'slowed heart rate', 'menstrual irregularities']",fatigue weight gain difficulty passing stool dry skin hair loss slowed heart rate menstrual irregularities,7,True,34
Hyperthyroidism,unintended weight loss; heat intolerance; palpitations; tremor; anxiety; increased sweating; frequent bowel movements; irritability,"['unintended weight loss', 'heat intolerance', 'palpitations', 'tremor', 'anxiety', 'increased sweating', 'frequent bowel movements', 'irritability']",unintended weight loss heat intolerance palpitations tremor anxiety increased sweating frequent bowel movements irritability,8,False,35
Hyperthyroidism,unintended weight loss; heat intolerance; palpitations; tremor; anxiety; increased sweating; frequent bowel movements; irritability,"['unintended weight loss', 'heat intolerance', 'palpitations', 'tremor', 'anxiety', 'increased sweating', 'frequent bowel movements', 'irritability']",unintended weight loss heat intolerance palpitations tremor anxiety increased sweating frequent bowel movements irritability,8,True,35
Hyperthyroidism,unintended weight loss; heat intolerance; palpitations; tremor; anxiety; increased sweating; frequent bowel movements; irritability; swelling in legs,"['unintended weight loss', 'heat intolerance', 'palpitations', 'tremor', 'anxiety', 'increased sweating', 'frequent bowel movements', 'irritability', 'swelling in legs']",unintended weight loss heat intolerance palpitations tremor anxiety increased sweating frequent bowel movements irritability swelling in legs,9,True,35
Hyperthyroidism,unintended weight loss; heat intolerance; palpitations; tremor; anxiety; increased sweating; frequent bowel movements; irritability; swelling in legs,"['unintended weight loss', 'heat intolerance', 'palpitations', 'tremor', 'anxiety', 'increased sweating', 'frequent bowel movements', 'irritability', 'swelling in legs']",unintended weight loss heat intolerance palpitations tremor anxiety increased sweating frequent bowel movements irritability swelling in legs,9,True,35
Hypertension (High Blood Pressure),often asymptomatic; headaches  esp  with severe hypertension; dizziness; nosebleeds  rare; shortness of breath if advanced,"['often asymptomatic', 'headaches  esp  with severe hypertension', 'dizziness', 'nosebleeds  rare', 'shortness of breath if advanced']",often asymptomatic headaches  esp  with severe hypertension dizziness nosebleeds  rare shortness of breath if advanced,5,False,36
Hypertension (High Blood Pressure),often asymptomatic; headaches  esp  with severe hypertension; dizziness; shortness of breath if advanced,"['often asymptomatic', 'headaches  esp  with severe hypertension', 'dizziness', 'shortness of breath if advanced']",often asymptomatic headaches  esp  with severe hypertension dizziness shortness of breath if advanced,4,True,36
Hypertension (High Blood Pressure),often asymptomatic; headaches  esp  with severe hypertension; feeling faint; nosebleeds  rare; shortness of breath if advanced,"['often asymptomatic', 'headaches  esp  with severe hypertension', 'feeling faint', 'nosebleeds  rare', 'shortness of breath if advanced']",often asymptomatic headaches  esp  with severe hypertension feeling faint nosebleeds  rare shortness of breath if advanced,5,True,36
Hypertension (High Blood Pressure),often asymptomatic; headaches  esp  with severe hypertension; dizziness; nosebleeds  rare; shortness of breath if advanced; seizures,"['often asymptomatic', 'headaches  esp  with severe hypertension', 'dizziness', 'nosebleeds  rare', 'shortness of breath if advanced', 'seizures']",often asymptomatic headaches  esp  with severe hypertension dizziness nosebleeds  rare shortness of breath if advanced seizures,6,True,36
Coronary Artery Disease (Angina),chest pain pressure or discomfort with exertion; shortness of breath; fatigue; pain may radiate to jaw arm back; relieved by rest or nitroglycerin,"['chest pain pressure or discomfort with exertion', 'shortness of breath', 'fatigue', 'pain may radiate to jaw arm back', 'relieved by rest or nitroglycerin']",chest pain pressure or discomfort with exertion shortness of breath fatigue pain may radiate to jaw arm back relieved by rest or nitroglycerin,5,False,37
Coronary Artery Disease (Angina),chest pain pressure or discomfort with exertion; difficulty breathing; fatigue; pain may radiate to jaw arm back; relieved by rest or nitroglycerin,"['chest pain pressure or discomfort with exertion', 'difficulty breathing', 'fatigue', 'pain may radiate to jaw arm back', 'relieved by rest or nitroglycerin']",chest pain pressure or discomfort with exertion difficulty breathing fatigue pain may radiate to jaw arm back relieved by rest or nitroglycerin,5,True,37
Coronary Artery Disease (Angina),chest pain pressure or discomfort with exertion; shortness of breath; lethargy; pain may radiate to jaw arm back; relieved by rest or nitroglycerin,"['chest pain pressure or discomfort with exertion', 'shortness of breath', 'lethargy', 'pain may radiate to jaw arm back', 'relieved by rest or nitroglycerin']",chest pain pressure or discomfort with exertion shortness of breath lethargy pain may radiate to jaw arm back relieved by rest or nitroglycerin,5,True,37
Coronary Artery Disease (Angina),chest pain pressure or discomfort with exertion; shortness of breath; fatigue; pain may radiate to jaw arm back; relieved by rest or nitroglycerin; wheezing,"['chest pain pressure or discomfort with exertion', 'shortness of breath', 'fatigue', 'pain may radiate to jaw arm back', 'relieved by rest or nitroglycerin', 'wheezing']",chest pain pressure or discomfort with exertion shortness of breath fatigue pain may radiate to jaw arm back relieved by rest or nitroglycerin wheezing,6,True,37
Myocardial Infarction (Heart Attack),severe chest pain pressure; pain radiating to jaw neck left arm; shortness of breath; sweating; nausea; lightheadedness; sudden weakness,"['severe chest pain pressure', 'pain radiating to jaw neck left arm', 'shortness of breath', 'sweating', 'nausea', 'lightheadedness', 'sudden weakness']",severe chest pain pressure pain radiating to jaw neck left arm shortness of breath sweating nausea lightheadedness sudden weakness,7,False,38
Myocardial Infarction (Heart Attack),wheezing; sweating; severe chest pain pressure; pain radiating to jaw neck left arm; shortness of breath; lightheadedness; sick to stomach; sudden weakness,"['wheezing', 'sweating', 'severe chest pain pressure', 'pain radiating to jaw neck left arm', 'shortness of breath', 'lightheadedness', 'sick to stomach', 'sudden weakness']",wheezing sweating severe chest pain pressure pain radiating to jaw neck left arm shortness of breath lightheadedness sick to stomach sudden weakness,8,True,38
Myocardial Infarction (Heart Attack),severe chest pain pressure; shortness of breath; sweating; nausea; lightheadedness; sudden weakness,"['severe chest pain pressure', 'shortness of breath', 'sweating', 'nausea', 'lightheadedness', 'sudden weakness']",severe chest pain pressure shortness of breath sweating nausea lightheadedness sudden weakness,6,True,38
