Disease,Symptoms,symptoms_list,symptom_count,symptoms_text,disease_encoded,has_respiratory_symptoms,has_cardiovascular_symptoms,has_gastrointestinal_symptoms,has_genitourinary_symptoms,has_neurological_symptoms,has_dermatological_symptoms,has_musculoskeletal_symptoms,has_endocrine_symptoms,has_severe_indicators,has_mild_indicators,has_chronic_indicators,symptom_diversity,is_augmented,augmentation_type,original_index,is_partial,partial_factor,is_noisy
Allergic Rhinitis (Hay Fever),sneezing; itchy  watery eyes; runny or congested nose; post nasal drip; itchy throat; seasonal or perennial pattern; sore throat,"['sneezing', 'itchy  watery eyes', 'runny or congested nose', 'post nasal drip', 'itchy throat', 'seasonal or perennial pattern', 'sore throat']",7,sneezing itchy  watery eyes runny or congested nose post nasal drip itchy throat seasonal or perennial pattern sore throat,0,1,0,0,0,0,0,0,0,0,0,0,1,True,symptom_variation,5.0,,,
Allergic Rhinitis (Hay Fever),itchy  watery eyes; seasonal or perennial pattern; itchy throat; runny or congested nose; post nasal drip; sneezing,"['itchy  watery eyes', 'seasonal or perennial pattern', 'itchy throat', 'runny or congested nose', 'post nasal drip', 'sneezing']",6,itchy  watery eyes seasonal or perennial pattern itchy throat runny or congested nose post nasal drip sneezing,0,1,0,0,0,0,0,0,0,0,0,0,1,True,symptom_variation,5.0,,,
Sinusitis,facial pain pressure; nasal congestion; thick nasal discharge  yellow green; reduced sense of smell; headache; dental pain; cough,"['facial pain pressure', 'nasal congestion', 'thick nasal discharge  yellow green', 'reduced sense of smell', 'headache', 'dental pain', 'cough']",7,facial pain pressure nasal congestion thick nasal discharge  yellow green reduced sense of smell headache dental pain cough,38,1,0,0,0,1,0,0,0,0,0,0,2,True,symptom_variation,6.0,,,
Sinusitis,facial pain pressure; nasal congestion; thick nasal discharge  yellow green; headache; dental pain; cough,"['facial pain pressure', 'nasal congestion', 'thick nasal discharge  yellow green', 'headache', 'dental pain', 'cough']",6,facial pain pressure nasal congestion thick nasal discharge  yellow green headache dental pain cough,38,1,0,0,0,1,0,0,0,0,0,0,2,True,symptom_variation,6.0,,,
Sinusitis,facial pain pressure; nasal congestion; thick nasal discharge  yellow green; reduced sense of smell; headache; dental pain; cough; difficulty concentrating,"['facial pain pressure', 'nasal congestion', 'thick nasal discharge  yellow green', 'reduced sense of smell', 'headache', 'dental pain', 'cough', 'difficulty concentrating']",8,facial pain pressure nasal congestion thick nasal discharge  yellow green reduced sense of smell headache dental pain cough difficulty concentrating,38,1,0,0,0,1,0,0,0,0,0,0,2,True,symptom_variation,6.0,,,
Strep Throat,white patches on tonsils; sudden severe throat pain; absent cough; fever; pain on swallowing,"['white patches on tonsils', 'sudden severe throat pain', 'absent cough', 'fever', 'pain on swallowing']",5,white patches on tonsils sudden severe throat pain absent cough fever pain on swallowing,39,1,0,0,0,0,0,0,0,1,0,0,1,True,symptom_variation,7.0,,,
Strep Throat,sudden severe throat pain; pain on swallowing; elevated temperature; swollen tender lymph nodes in neck; white patches on tonsils; absent cough,"['sudden severe throat pain', 'pain on swallowing', 'elevated temperature', 'swollen tender lymph nodes in neck', 'white patches on tonsils', 'absent cough']",6,sudden severe throat pain pain on swallowing elevated temperature swollen tender lymph nodes in neck white patches on tonsils absent cough,39,1,0,0,0,0,0,1,1,1,0,0,3,True,symptom_variation,7.0,,,
Strep Throat,sudden severe throat pain; pain on swallowing; fever; swollen tender lymph nodes in neck; white patches on tonsils; absent cough,"['sudden severe throat pain', 'pain on swallowing', 'fever', 'swollen tender lymph nodes in neck', 'white patches on tonsils', 'absent cough']",6,sudden severe throat pain pain on swallowing fever swollen tender lymph nodes in neck white patches on tonsils absent cough,39,1,0,0,0,0,0,1,0,1,0,0,2,True,symptom_variation,7.0,,,
Tonsillitis,throat pain; swollen enlarged tonsils often with white or yellow patches; painful swallowing; fever; bad breath; swollen neck glands,"['throat pain', 'swollen enlarged tonsils often with white or yellow patches', 'painful swallowing', 'fever', 'bad breath', 'swollen neck glands']",6,throat pain swollen enlarged tonsils often with white or yellow patches painful swallowing fever bad breath swollen neck glands,44,1,0,0,0,0,0,1,0,0,0,0,2,True,symptom_variation,8.0,,,
Tonsillitis,throat pain; swollen enlarged tonsils often with white or yellow patches; painful swallowing; fever; bad breath; swollen neck glands,"['throat pain', 'swollen enlarged tonsils often with white or yellow patches', 'painful swallowing', 'fever', 'bad breath', 'swollen neck glands']",6,throat pain swollen enlarged tonsils often with white or yellow patches painful swallowing fever bad breath swollen neck glands,44,1,0,0,0,0,0,1,0,0,0,0,2,True,symptom_variation,8.0,,,
Tonsillitis,throat pain; swollen enlarged tonsils often with white or yellow patches; painful swallowing; fever; bad breath; swollen neck glands,"['throat pain', 'swollen enlarged tonsils often with white or yellow patches', 'painful swallowing', 'fever', 'bad breath', 'swollen neck glands']",6,throat pain swollen enlarged tonsils often with white or yellow patches painful swallowing fever bad breath swollen neck glands,44,1,0,0,0,0,0,1,0,0,0,0,2,True,symptom_variation,8.0,,,
Gastroenteritis (Stomach Flu),nausea; vomiting; watery diarrhea; abdominal cramps; low grade fever; dehydration risk; muscle aches; heartburn,"['nausea', 'vomiting', 'watery diarrhea', 'abdominal cramps', 'low grade fever', 'dehydration risk', 'muscle aches', 'heartburn']",8,nausea vomiting watery diarrhea abdominal cramps low grade fever dehydration risk muscle aches heartburn,16,0,1,1,0,0,0,1,0,0,0,0,3,True,symptom_variation,9.0,,,
Gastroenteritis (Stomach Flu),nausea; vomiting; watery diarrhea; abdominal cramps; low grade fever; dehydration risk; muscle aches; constipation,"['nausea', 'vomiting', 'watery diarrhea', 'abdominal cramps', 'low grade fever', 'dehydration risk', 'muscle aches', 'constipation']",8,nausea vomiting watery diarrhea abdominal cramps low grade fever dehydration risk muscle aches constipation,16,0,0,1,0,0,0,1,0,0,0,0,2,True,symptom_variation,9.0,,,
Gastroenteritis (Stomach Flu),sick to stomach; vomiting; watery diarrhea; abdominal cramps; low grade fever; dehydration risk; muscle aches,"['sick to stomach', 'vomiting', 'watery diarrhea', 'abdominal cramps', 'low grade fever', 'dehydration risk', 'muscle aches']",7,sick to stomach vomiting watery diarrhea abdominal cramps low grade fever dehydration risk muscle aches,16,0,0,1,0,0,0,1,0,0,0,0,2,True,symptom_variation,9.0,,,
Food Poisoning,severe abdominal cramps; diarrhea  may be bloody depending on cause; nausea; emesis; elevated temperature; dehydration; weakness; sudden nausea,"['severe abdominal cramps', 'diarrhea  may be bloody depending on cause', 'nausea', 'emesis', 'elevated temperature', 'dehydration', 'weakness', 'sudden nausea']",8,severe abdominal cramps diarrhea  may be bloody depending on cause nausea emesis elevated temperature dehydration weakness sudden nausea,13,0,0,1,0,1,0,0,1,1,0,0,3,True,symptom_variation,10.0,,,
Food Poisoning,sudden nausea; vomiting; severe abdominal cramps; diarrhea  may be bloody depending on cause; fever; weakness; dehydration,"['sudden nausea', 'vomiting', 'severe abdominal cramps', 'diarrhea  may be bloody depending on cause', 'fever', 'weakness', 'dehydration']",7,sudden nausea vomiting severe abdominal cramps diarrhea  may be bloody depending on cause fever weakness dehydration,13,0,0,1,0,1,0,0,0,1,0,0,2,True,symptom_variation,10.0,,,
Food Poisoning,sudden nausea; vomiting; severe abdominal cramps; diarrhea  may be bloody depending on cause; fever; weakness; dehydration,"['sudden nausea', 'vomiting', 'severe abdominal cramps', 'diarrhea  may be bloody depending on cause', 'fever', 'weakness', 'dehydration']",7,sudden nausea vomiting severe abdominal cramps diarrhea  may be bloody depending on cause fever weakness dehydration,13,0,0,1,0,1,0,0,0,1,0,0,2,True,symptom_variation,10.0,,,
Gastritis,upper abdominal pain or burning; bloating; nausea; emesis; belching; loss of appetite; sometimes dark tarry stools if bleeding; vomiting,"['upper abdominal pain or burning', 'bloating', 'nausea', 'emesis', 'belching', 'loss of appetite', 'sometimes dark tarry stools if bleeding', 'vomiting']",8,upper abdominal pain or burning bloating nausea emesis belching loss of appetite sometimes dark tarry stools if bleeding vomiting,15,0,0,1,0,0,0,0,0,0,0,0,1,True,symptom_variation,11.0,,,
Gastritis,belching; nausea; loss of appetite; bloating; sometimes dark tarry stools if bleeding; vomiting; upper abdominal pain or burning,"['belching', 'nausea', 'loss of appetite', 'bloating', 'sometimes dark tarry stools if bleeding', 'vomiting', 'upper abdominal pain or burning']",7,belching nausea loss of appetite bloating sometimes dark tarry stools if bleeding vomiting upper abdominal pain or burning,15,0,0,1,0,0,0,0,0,0,0,0,1,True,symptom_variation,11.0,,,
Gastritis,upper abdominal pain or burning; bloating; sick to stomach; vomiting; belching; loss of appetite; sometimes dark tarry stools if bleeding,"['upper abdominal pain or burning', 'bloating', 'sick to stomach', 'vomiting', 'belching', 'loss of appetite', 'sometimes dark tarry stools if bleeding']",7,upper abdominal pain or burning bloating sick to stomach vomiting belching loss of appetite sometimes dark tarry stools if bleeding,15,0,0,1,0,0,0,0,0,0,0,0,1,True,symptom_variation,11.0,,,
Peptic Ulcer Disease,burning or gnawing epigastric pain  better worse with meals depending on type; bloating; nausea; heartburn; possible vomiting or gi bleeding,"['burning or gnawing epigastric pain  better worse with meals depending on type', 'bloating', 'nausea', 'heartburn', 'possible vomiting or gi bleeding']",5,burning or gnawing epigastric pain  better worse with meals depending on type bloating nausea heartburn possible vomiting or gi bleeding,34,0,1,1,0,0,0,0,0,0,0,0,2,True,symptom_variation,12.0,,,
Peptic Ulcer Disease,bloating; queasy; heartburn; possible vomiting or gi bleeding; belching,"['bloating', 'queasy', 'heartburn', 'possible vomiting or gi bleeding', 'belching']",5,bloating queasy heartburn possible vomiting or gi bleeding belching,34,0,1,1,0,0,0,0,0,0,0,0,2,True,symptom_variation,12.0,,,
Peptic Ulcer Disease,burning or gnawing epigastric pain  better worse with meals depending on type; bloating; nausea; heartburn; possible vomiting or gi bleeding,"['burning or gnawing epigastric pain  better worse with meals depending on type', 'bloating', 'nausea', 'heartburn', 'possible vomiting or gi bleeding']",5,burning or gnawing epigastric pain  better worse with meals depending on type bloating nausea heartburn possible vomiting or gi bleeding,34,0,1,1,0,0,0,0,0,0,0,0,2,True,symptom_variation,12.0,,,
GERD (Acid Reflux),heartburn; acid regurgitation; chest discomfort; chronic cough; hoarseness; sour taste; worse when lying down or after meals; abdominal pain,"['heartburn', 'acid regurgitation', 'chest discomfort', 'chronic cough', 'hoarseness', 'sour taste', 'worse when lying down or after meals', 'abdominal pain']",8,heartburn acid regurgitation chest discomfort chronic cough hoarseness sour taste worse when lying down or after meals abdominal pain,14,1,1,1,0,0,0,0,0,0,0,1,3,True,symptom_variation,13.0,,,
GERD (Acid Reflux),chest discomfort; hoarseness; sour taste; acid regurgitation; heartburn; worse when lying down or after meals; chronic cough,"['chest discomfort', 'hoarseness', 'sour taste', 'acid regurgitation', 'heartburn', 'worse when lying down or after meals', 'chronic cough']",7,chest discomfort hoarseness sour taste acid regurgitation heartburn worse when lying down or after meals chronic cough,14,1,1,0,0,0,0,0,0,0,0,1,2,True,symptom_variation,13.0,,,
GERD (Acid Reflux),heartburn; acid regurgitation; chest discomfort; chronic cough; hoarseness; sour taste; worse when lying down or after meals; constipation,"['heartburn', 'acid regurgitation', 'chest discomfort', 'chronic cough', 'hoarseness', 'sour taste', 'worse when lying down or after meals', 'constipation']",8,heartburn acid regurgitation chest discomfort chronic cough hoarseness sour taste worse when lying down or after meals constipation,14,1,1,1,0,0,0,0,0,0,0,1,3,True,symptom_variation,13.0,,,
Appendicitis,periumbilical pain that migrates to right lower abdomen; worsening abdominal pain; nausea; vomiting; pyrexia; loss of appetite; rebound tenderness; bloating,"['periumbilical pain that migrates to right lower abdomen', 'worsening abdominal pain', 'nausea', 'vomiting', 'pyrexia', 'loss of appetite', 'rebound tenderness', 'bloating']",8,periumbilical pain that migrates to right lower abdomen worsening abdominal pain nausea vomiting pyrexia loss of appetite rebound tenderness bloating,1,0,0,1,0,0,0,0,0,0,0,0,1,True,symptom_variation,14.0,,,
Appendicitis,periumbilical pain that migrates to right lower abdomen; worsening abdominal pain; nausea; vomiting; fever; loss of appetite; rebound tenderness,"['periumbilical pain that migrates to right lower abdomen', 'worsening abdominal pain', 'nausea', 'vomiting', 'fever', 'loss of appetite', 'rebound tenderness']",7,periumbilical pain that migrates to right lower abdomen worsening abdominal pain nausea vomiting fever loss of appetite rebound tenderness,1,0,0,1,0,0,0,0,0,0,0,0,1,True,symptom_variation,14.0,,,
Appendicitis,periumbilical pain that migrates to right lower abdomen; worsening abdominal pain; queasy; vomiting; fever; loss of appetite; heartburn,"['periumbilical pain that migrates to right lower abdomen', 'worsening abdominal pain', 'queasy', 'vomiting', 'fever', 'loss of appetite', 'heartburn']",7,periumbilical pain that migrates to right lower abdomen worsening abdominal pain queasy vomiting fever loss of appetite heartburn,1,0,1,1,0,0,0,0,0,0,0,0,2,True,symptom_variation,14.0,,,
Cholecystitis / Gallstones,sudden severe pain in right upper abdomen or right shoulder; nausea; vomiting; fever; tenderness over gallbladder; pain after fatty meals; diarrhea,"['sudden severe pain in right upper abdomen or right shoulder', 'nausea', 'vomiting', 'fever', 'tenderness over gallbladder', 'pain after fatty meals', 'diarrhea']",7,sudden severe pain in right upper abdomen or right shoulder nausea vomiting fever tenderness over gallbladder pain after fatty meals diarrhea,6,0,0,1,1,0,0,0,0,1,0,0,2,True,symptom_variation,15.0,,,
Cholecystitis / Gallstones,sudden severe pain in right upper abdomen or right shoulder; nausea; throwing up; fever; tenderness over gallbladder; pain after fatty meals,"['sudden severe pain in right upper abdomen or right shoulder', 'nausea', 'throwing up', 'fever', 'tenderness over gallbladder', 'pain after fatty meals']",6,sudden severe pain in right upper abdomen or right shoulder nausea throwing up fever tenderness over gallbladder pain after fatty meals,6,0,0,1,1,0,0,0,0,1,0,0,2,True,symptom_variation,15.0,,,
Cholecystitis / Gallstones,sudden severe pain in right upper abdomen or right shoulder; nausea; vomiting; fever; tenderness over gallbladder; pain after fatty meals,"['sudden severe pain in right upper abdomen or right shoulder', 'nausea', 'vomiting', 'fever', 'tenderness over gallbladder', 'pain after fatty meals']",6,sudden severe pain in right upper abdomen or right shoulder nausea vomiting fever tenderness over gallbladder pain after fatty meals,6,0,0,1,1,0,0,0,0,1,0,0,2,True,symptom_variation,15.0,,,
Hepatitis (viral),weakness; jaundice  yellowing of skin eyes; dark urine; pale stools; abdominal discomfort  right upper quadrant; nausea; loss of appetite,"['weakness', 'jaundice  yellowing of skin eyes', 'dark urine', 'pale stools', 'abdominal discomfort  right upper quadrant', 'nausea', 'loss of appetite']",7,weakness jaundice  yellowing of skin eyes dark urine pale stools abdominal discomfort  right upper quadrant nausea loss of appetite,19,0,0,1,1,1,1,0,0,0,0,0,4,True,symptom_variation,16.0,,,
Hepatitis (viral),fatigue; jaundice  yellowing of skin eyes; dark urine; abdominal discomfort  right upper quadrant; nausea; decreased appetite,"['fatigue', 'jaundice  yellowing of skin eyes', 'dark urine', 'abdominal discomfort  right upper quadrant', 'nausea', 'decreased appetite']",6,fatigue jaundice  yellowing of skin eyes dark urine abdominal discomfort  right upper quadrant nausea decreased appetite,19,0,0,1,1,0,1,0,1,0,0,0,4,True,symptom_variation,16.0,,,
Hepatitis (viral),fatigue; jaundice  yellowing of skin eyes; dark urine; pale stools; abdominal discomfort  right upper quadrant; nausea; anorexia; thirst,"['fatigue', 'jaundice  yellowing of skin eyes', 'dark urine', 'pale stools', 'abdominal discomfort  right upper quadrant', 'nausea', 'anorexia', 'thirst']",8,fatigue jaundice  yellowing of skin eyes dark urine pale stools abdominal discomfort  right upper quadrant nausea anorexia thirst,19,0,0,1,1,0,1,0,1,0,0,0,4,True,symptom_variation,16.0,,,
Pancreatitis,severe constant upper abdominal pain radiating to the back; sick to stomach; vomiting; fever; rapid pulse; abdominal tenderness; bloating,"['severe constant upper abdominal pain radiating to the back', 'sick to stomach', 'vomiting', 'fever', 'rapid pulse', 'abdominal tenderness', 'bloating']",7,severe constant upper abdominal pain radiating to the back sick to stomach vomiting fever rapid pulse abdominal tenderness bloating,32,0,0,1,0,0,0,1,0,1,0,0,2,True,symptom_variation,17.0,,,
Pancreatitis,severe constant upper abdominal pain radiating to the back; nausea; vomiting; fever; rapid pulse; abdominal tenderness; bloating,"['severe constant upper abdominal pain radiating to the back', 'nausea', 'vomiting', 'fever', 'rapid pulse', 'abdominal tenderness', 'bloating']",7,severe constant upper abdominal pain radiating to the back nausea vomiting fever rapid pulse abdominal tenderness bloating,32,0,0,1,0,0,0,1,0,1,0,0,2,True,symptom_variation,17.0,,,
Pancreatitis,nausea; severe constant upper abdominal pain radiating to the back; fever; vomiting; heartburn; abdominal tenderness,"['nausea', 'severe constant upper abdominal pain radiating to the back', 'fever', 'vomiting', 'heartburn', 'abdominal tenderness']",6,nausea severe constant upper abdominal pain radiating to the back fever vomiting heartburn abdominal tenderness,32,0,1,1,0,0,0,1,0,1,0,0,3,True,symptom_variation,17.0,,,
Urinary Tract Infection (UTI),cloudy or strong smelling urine; small amounts of urine; burning or dysuria; sometimes hematuria; lower abdominal pelvic pain; frequent urge to urinate,"['cloudy or strong smelling urine', 'small amounts of urine', 'burning or dysuria', 'sometimes hematuria', 'lower abdominal pelvic pain', 'frequent urge to urinate']",6,cloudy or strong smelling urine small amounts of urine burning or dysuria sometimes hematuria lower abdominal pelvic pain frequent urge to urinate,46,0,0,1,1,0,0,0,0,0,0,0,2,True,symptom_variation,18.0,,,
Urinary Tract Infection (UTI),burning or dysuria; frequent urge to urinate; small amounts of urine; cloudy or strong smelling urine; lower abdominal pelvic pain; sometimes hematuria,"['burning or dysuria', 'frequent urge to urinate', 'small amounts of urine', 'cloudy or strong smelling urine', 'lower abdominal pelvic pain', 'sometimes hematuria']",6,burning or dysuria frequent urge to urinate small amounts of urine cloudy or strong smelling urine lower abdominal pelvic pain sometimes hematuria,46,0,0,1,1,0,0,0,0,0,0,0,2,True,symptom_variation,18.0,,,
Urinary Tract Infection (UTI),burning or dysuria; frequent urge to urinate; small amounts of urine; cloudy or strong smelling urine; lower abdominal pelvic pain,"['burning or dysuria', 'frequent urge to urinate', 'small amounts of urine', 'cloudy or strong smelling urine', 'lower abdominal pelvic pain']",5,burning or dysuria frequent urge to urinate small amounts of urine cloudy or strong smelling urine lower abdominal pelvic pain,46,0,0,1,1,0,0,0,0,0,0,0,2,True,symptom_variation,18.0,,,
Pyelonephritis (Kidney Infection),high fever; chills; flank  side  or back pain; nausea vomiting; painful frequent urination; cloudy or bloody urine; malaise,"['high fever', 'chills', 'flank  side  or back pain', 'nausea vomiting', 'painful frequent urination', 'cloudy or bloody urine', 'malaise']",7,high fever chills flank  side  or back pain nausea vomiting painful frequent urination cloudy or bloody urine malaise,36,0,0,1,1,0,0,1,1,1,0,0,4,True,symptom_variation,19.0,,,
Pyelonephritis (Kidney Infection),high fever; chills; flank  side  or back pain; nausea vomiting; painful frequent urination; cloudy or bloody urine; malaise,"['high fever', 'chills', 'flank  side  or back pain', 'nausea vomiting', 'painful frequent urination', 'cloudy or bloody urine', 'malaise']",7,high fever chills flank  side  or back pain nausea vomiting painful frequent urination cloudy or bloody urine malaise,36,0,0,1,1,0,0,1,1,1,0,0,4,True,symptom_variation,19.0,,,
Pyelonephritis (Kidney Infection),high fever; chills; flank  side  or back pain; nausea vomiting; painful frequent urination; cloudy or bloody urine; malaise,"['high fever', 'chills', 'flank  side  or back pain', 'nausea vomiting', 'painful frequent urination', 'cloudy or bloody urine', 'malaise']",7,high fever chills flank  side  or back pain nausea vomiting painful frequent urination cloudy or bloody urine malaise,36,0,0,1,1,0,0,1,1,1,0,0,4,True,symptom_variation,19.0,,,
Kidney Stones,nausea; pain comes in waves; hematuria; urgency frequency of urination; vomiting; sudden severe flank or abdominal pain that may radiate to groin,"['nausea', 'pain comes in waves', 'hematuria', 'urgency frequency of urination', 'vomiting', 'sudden severe flank or abdominal pain that may radiate to groin']",6,nausea pain comes in waves hematuria urgency frequency of urination vomiting sudden severe flank or abdominal pain that may radiate to groin,25,0,0,1,1,0,0,0,1,1,0,0,3,True,symptom_variation,20.0,,,
Kidney Stones,sudden severe flank or abdominal pain that may radiate to groin; pain comes in waves; hematuria; sick to stomach; vomiting; urgency frequency of urination; abdominal pain,"['sudden severe flank or abdominal pain that may radiate to groin', 'pain comes in waves', 'hematuria', 'sick to stomach', 'vomiting', 'urgency frequency of urination', 'abdominal pain']",7,sudden severe flank or abdominal pain that may radiate to groin pain comes in waves hematuria sick to stomach vomiting urgency frequency of urination abdominal pain,25,0,0,1,1,0,0,0,1,1,0,0,3,True,symptom_variation,20.0,,,
Kidney Stones,pain comes in waves; nausea; hematuria; vomiting; urgency frequency of urination,"['pain comes in waves', 'nausea', 'hematuria', 'vomiting', 'urgency frequency of urination']",5,pain comes in waves nausea hematuria vomiting urgency frequency of urination,25,0,0,1,1,0,0,0,1,0,0,0,3,True,symptom_variation,20.0,,,
Chlamydia Infection,often asymptomatic; abnormal genital discharge; burning during urination; pelvic pain; pain during intercourse; in women can cause bleeding between periods,"['often asymptomatic', 'abnormal genital discharge', 'burning during urination', 'pelvic pain', 'pain during intercourse', 'in women can cause bleeding between periods']",6,often asymptomatic abnormal genital discharge burning during urination pelvic pain pain during intercourse in women can cause bleeding between periods,5,0,0,0,1,0,0,0,1,0,0,0,2,True,symptom_variation,21.0,,,
Chlamydia Infection,often asymptomatic; abnormal genital discharge; burning during urination; pelvic pain; pain during intercourse; in women can cause bleeding between periods; frequent urination,"['often asymptomatic', 'abnormal genital discharge', 'burning during urination', 'pelvic pain', 'pain during intercourse', 'in women can cause bleeding between periods', 'frequent urination']",7,often asymptomatic abnormal genital discharge burning during urination pelvic pain pain during intercourse in women can cause bleeding between periods frequent urination,5,0,0,0,1,0,0,0,1,0,0,0,2,True,symptom_variation,21.0,,,
Chlamydia Infection,often asymptomatic; abnormal genital discharge; burning during urination; pelvic pain; pain during intercourse; in women can cause bleeding between periods,"['often asymptomatic', 'abnormal genital discharge', 'burning during urination', 'pelvic pain', 'pain during intercourse', 'in women can cause bleeding between periods']",6,often asymptomatic abnormal genital discharge burning during urination pelvic pain pain during intercourse in women can cause bleeding between periods,5,0,0,0,1,0,0,0,1,0,0,0,2,True,symptom_variation,21.0,,,
Gonorrhea,genital discharge  purulent; dysuria; pelvic pain; increased vaginal bleeding; testicular pain in men; sometimes throat pain if oral exposure,"['genital discharge  purulent', 'dysuria', 'pelvic pain', 'increased vaginal bleeding', 'testicular pain in men', 'sometimes throat pain if oral exposure']",6,genital discharge  purulent dysuria pelvic pain increased vaginal bleeding testicular pain in men sometimes throat pain if oral exposure,18,1,0,0,1,0,0,0,0,0,0,0,2,True,symptom_variation,22.0,,,
Gonorrhea,genital discharge  purulent; dysuria; increased vaginal bleeding; testicular pain in men; sometimes throat pain if oral exposure,"['genital discharge  purulent', 'dysuria', 'increased vaginal bleeding', 'testicular pain in men', 'sometimes throat pain if oral exposure']",5,genital discharge  purulent dysuria increased vaginal bleeding testicular pain in men sometimes throat pain if oral exposure,18,1,0,0,1,0,0,0,0,0,0,0,2,True,symptom_variation,22.0,,,
Gonorrhea,genital discharge  purulent; dysuria; pelvic pain; increased vaginal bleeding; testicular pain in men; sometimes throat pain if oral exposure,"['genital discharge  purulent', 'dysuria', 'pelvic pain', 'increased vaginal bleeding', 'testicular pain in men', 'sometimes throat pain if oral exposure']",6,genital discharge  purulent dysuria pelvic pain increased vaginal bleeding testicular pain in men sometimes throat pain if oral exposure,18,1,0,0,1,0,0,0,0,0,0,0,2,True,symptom_variation,22.0,,,
Syphilis,secondary  rash  including palms soles   mucous lesions  fever  lymphadenopathy; latent tertiary  organ damage if untreated; primary  painless genital sore,"['secondary  rash  including palms soles   mucous lesions  fever  lymphadenopathy', 'latent tertiary  organ damage if untreated', 'primary  painless genital sore']",3,secondary  rash  including palms soles   mucous lesions  fever  lymphadenopathy latent tertiary  organ damage if untreated primary  painless genital sore,41,0,0,0,1,0,1,0,0,0,0,0,2,True,symptom_variation,23.0,,,
Syphilis,latent tertiary  organ damage if untreated; secondary  rash  including palms soles   mucous lesions  fever  lymphadenopathy; primary  painless genital sore,"['latent tertiary  organ damage if untreated', 'secondary  rash  including palms soles   mucous lesions  fever  lymphadenopathy', 'primary  painless genital sore']",3,latent tertiary  organ damage if untreated secondary  rash  including palms soles   mucous lesions  fever  lymphadenopathy primary  painless genital sore,41,0,0,0,1,0,1,0,0,0,0,0,2,True,symptom_variation,23.0,,,
Syphilis,primary  painless genital sore; secondary  rash  including palms soles   mucous lesions  fever  lymphadenopathy; latent tertiary  organ damage if untreated,"['primary  painless genital sore', 'secondary  rash  including palms soles   mucous lesions  fever  lymphadenopathy', 'latent tertiary  organ damage if untreated']",3,primary  painless genital sore secondary  rash  including palms soles   mucous lesions  fever  lymphadenopathy latent tertiary  organ damage if untreated,41,0,0,0,1,0,1,0,0,0,0,0,2,True,symptom_variation,23.0,,,
Pelvic Inflammatory Disease (PID),infertility risk if untreated; abnormal vaginal discharge; lower abdominal pelvic pain; dysuria; pyrexia; irregular menstrual bleeding; painful intercourse,"['infertility risk if untreated', 'abnormal vaginal discharge', 'lower abdominal pelvic pain', 'dysuria', 'pyrexia', 'irregular menstrual bleeding', 'painful intercourse']",7,infertility risk if untreated abnormal vaginal discharge lower abdominal pelvic pain dysuria pyrexia irregular menstrual bleeding painful intercourse,33,0,0,1,1,0,0,0,0,0,0,0,2,True,symptom_variation,24.0,,,
Pelvic Inflammatory Disease (PID),lower abdominal pelvic pain; painful intercourse; irregular menstrual bleeding; infertility risk if untreated; fever; abnormal vaginal discharge; dysuria,"['lower abdominal pelvic pain', 'painful intercourse', 'irregular menstrual bleeding', 'infertility risk if untreated', 'fever', 'abnormal vaginal discharge', 'dysuria']",7,lower abdominal pelvic pain painful intercourse irregular menstrual bleeding infertility risk if untreated fever abnormal vaginal discharge dysuria,33,0,0,1,1,0,0,0,0,0,0,0,2,True,symptom_variation,24.0,,,
Pelvic Inflammatory Disease (PID),lower abdominal pelvic pain; abnormal vaginal discharge; fever; painful intercourse; dysuria; irregular menstrual bleeding; infertility risk if untreated,"['lower abdominal pelvic pain', 'abnormal vaginal discharge', 'fever', 'painful intercourse', 'dysuria', 'irregular menstrual bleeding', 'infertility risk if untreated']",7,lower abdominal pelvic pain abnormal vaginal discharge fever painful intercourse dysuria irregular menstrual bleeding infertility risk if untreated,33,0,0,1,1,0,0,0,0,0,0,0,2,True,symptom_variation,24.0,,,
Vaginal Yeast Infection (Candidiasis),intense vaginal itching and irritation; thick white  cottage cheese  discharge; burning with urination; redness swelling of vulva,"['intense vaginal itching and irritation', 'thick white  cottage cheese  discharge', 'burning with urination', 'redness swelling of vulva']",4,intense vaginal itching and irritation thick white  cottage cheese  discharge burning with urination redness swelling of vulva,48,0,0,0,1,0,1,0,1,1,0,0,3,True,symptom_variation,25.0,,,
Vaginal Yeast Infection (Candidiasis),intense vaginal itching and irritation; thick white  cottage cheese  discharge; burning with urination; redness swelling of vulva,"['intense vaginal itching and irritation', 'thick white  cottage cheese  discharge', 'burning with urination', 'redness swelling of vulva']",4,intense vaginal itching and irritation thick white  cottage cheese  discharge burning with urination redness swelling of vulva,48,0,0,0,1,0,1,0,1,1,0,0,3,True,symptom_variation,25.0,,,
Vaginal Yeast Infection (Candidiasis),intense vaginal itching and irritation; thick white  cottage cheese  discharge; burning with urination; redness swelling of vulva,"['intense vaginal itching and irritation', 'thick white  cottage cheese  discharge', 'burning with urination', 'redness swelling of vulva']",4,intense vaginal itching and irritation thick white  cottage cheese  discharge burning with urination redness swelling of vulva,48,0,0,0,1,0,1,0,1,1,0,0,3,True,symptom_variation,25.0,,,
